anime,oseba,vloga
32182,5997,Supporting
32182,5626,Supporting
32182,247,Supporting
32182,18371,Director
32182,33967,Sound Director
32182,39347,Episode Director
32182,30323,Episode Director
226,149,Main
226,73,Main
226,164,Main
226,552,Main
226,40,Main
226,71,Supporting
226,91,Supporting
226,6631,Supporting
226,132,Supporting
226,44,Supporting
226,6758,Producer
226,6759,Director
226,16443,Sound Director
226,37829,Episode Director
28223,1489,Main
28223,12041,Main
28223,11787,Main
28223,1764,Supporting
28223,5626,Supporting
28223,17215,Supporting
28223,348,Supporting
28223,141,Supporting
28223,63,Supporting
28223,761,Supporting
28223,18371,Director
28223,6549,Sound Director
28223,2009,Episode Director
28223,39348,Episode Director
121,82,Main
121,8,Main
121,243,Supporting
121,63,Supporting
121,95,Supporting
121,176,Supporting
121,144,Supporting
121,138,Supporting
121,316,Supporting
121,179,Supporting
121,203,Producer
121,6519,Producer
121,12109,Producer
121,5083,Director
9989,10765,Main
9989,88,Main
9989,890,Main
9989,599,Main
9989,869,Main
9989,79,Main
9989,8483,Supporting
9989,92,Supporting
9989,579,Supporting
9989,89,Supporting
9989,51843,Producer
9989,36805,Producer
9989,8539,Director
9989,8074,Sound Director
30,458,Main
30,14,Main
30,287,Main
30,9,Main
30,17,Supporting
30,284,Supporting
30,130,Supporting
30,14,Supporting
30,11,Supporting
30,14,Supporting
30,5111,Producer
30,5988,Producer
30,16407,Producer
30,37419,Assistant Producer
20583,15919,Main
20583,20156,Main
20583,270,Supporting
20583,87,Supporting
20583,1764,Supporting
20583,672,Supporting
20583,513,Supporting
20583,88,Supporting
20583,21157,Supporting
20583,18227,Supporting
20583,49895,Producer
20583,18823,Director
20583,7469,Sound Director
20583,10134,Episode Director
6746,118,Main
6746,212,Main
6746,99,Main
6746,65,Main
6746,600,Main
6746,185,Main
6746,173,Supporting
6746,107,Supporting
6746,86,Supporting
6746,1122,Supporting
6746,34357,Assistant Producer
6746,6671,Director
6746,9265,Episode Director
6746,16203,Episode Director
2167,513,Main
2167,31,Main
2167,57,Main
2167,111,Main
2167,32,Main
2167,40,Main
2167,278,Main
2167,239,Main
2167,177,Supporting
2167,195,Supporting
2167,8085,Producer
2167,38029,Producer
2167,5055,Director
2167,7194,Sound Director
35760,118,Main
35760,5142,Main
35760,672,Main
35760,158,Main
35760,11236,Main
35760,212,Supporting
35760,82,Supporting
35760,34,Supporting
35760,196,Supporting
35760,5626,Supporting
35760,40365,Producer
35760,49435,Producer
35760,5088,Director
35760,35937,Director
10087,13,Main
10087,113,Main
10087,1,Main
10087,91,Main
10087,92,Main
10087,116,Supporting
10087,146,Supporting
10087,120,Supporting
10087,117,Supporting
10087,112,Supporting
10087,14031,Producer
10087,8076,Producer
10087,9323,Producer
10087,12163,Director
28121,11817,Main
28121,11297,Main
28121,19884,Supporting
28121,869,Supporting
28121,13639,Supporting
28121,7263,Supporting
28121,5626,Supporting
28121,18227,Supporting
28121,270,Supporting
28121,12652,Supporting
28121,42213,Producer
28121,11066,Director
28121,8074,Sound Director
28121,42034,Episode Director
5081,61,Main
5081,118,Main
5081,28,Main
5081,52,Main
5081,99,Main
5081,185,Main
5081,79,Supporting
5081,413,Supporting
5081,885,Supporting
5081,14031,Producer
5081,27919,Producer
5081,20883,Assistant Producer
5081,5089,Director
15809,15743,Main
15809,7263,Main
15809,1154,Main
15809,11184,Main
15809,356,Supporting
15809,762,Supporting
15809,1722,Supporting
15809,11784,Supporting
15809,10707,Supporting
15809,10064,Supporting
15809,10141,Director
15809,8074,Sound Director
15809,14703,Episode Director
15809,27147,Episode Director
30503,118,Main
30503,672,Main
30503,13639,Main
30503,99,Main
30503,86,Main
30503,599,Supporting
30503,8,Supporting
30503,177,Supporting
30503,212,Supporting
30503,20156,Supporting
30503,25893,Director
30503,35787,Sound Director
30503,36957,Script
30503,39970,Storyboard
29803,245,Main
29803,12016,Main
29803,14441,Supporting
29803,9973,Supporting
29803,102,Supporting
29803,255,Supporting
29803,594,Supporting
29803,65,Supporting
29803,11787,Supporting
29803,10071,Supporting
29803,40519,Director
29803,37118,Sound Director
29803,47262,Episode Director
29803,40544,Script
28999,11622,Main
28999,1764,Main
28999,26543,Main
28999,13639,Main
28999,279,Main
28999,212,Supporting
28999,13639,Supporting
28999,99,Supporting
28999,576,Supporting
28999,16635,Supporting
28999,48090,Producer
28999,37429,Director
28999,35787,Sound Director
28999,16373,Episode Director
37779,655,Main
37779,13639,Main
37779,11404,Main
37779,46817,Supporting
37779,428,Supporting
37779,39129,Supporting
37779,10929,Supporting
37779,48826,Supporting
37779,27395,Supporting
37779,10765,Supporting
37779,6759,Director
37779,16443,Sound Director
37779,9029,Episode Director
37779,51059,Episode Director
33352,5142,Main
33352,87,Supporting
33352,1764,Supporting
33352,17297,Supporting
33352,54,Supporting
33352,160,Supporting
33352,24875,Supporting
33352,1105,Supporting
33352,174,Supporting
33352,890,Supporting
33352,8129,Director
33352,40506,Director
33352,7194,Sound Director
33352,6771,Episode Director
9756,61,Main
9756,6686,Main
9756,32,Main
9756,156,Main
9756,413,Main
9756,52,Main
9756,105,Supporting
9756,315,Supporting
9756,156,Supporting
9756,14031,Producer
9756,9323,Producer
9756,20883,Assistant Producer
9756,5089,Director
32937,34785,Main
32937,10094,Main
32937,21517,Main
32937,10765,Main
32937,28,Supporting
32937,599,Supporting
32937,20106,Supporting
32937,24537,Supporting
32937,20106,Supporting
32937,30901,Supporting
32937,11299,Director
32937,6016,Sound Director
32937,6929,Script
32937,10294,Script
10793,10765,Main
10793,672,Main
10793,513,Main
10793,185,Supporting
10793,6996,Supporting
10793,5295,Supporting
10793,1764,Supporting
10793,96,Supporting
10793,10765,Supporting
10793,270,Supporting
10793,40365,Producer
10793,21611,Producer
10793,5088,Director
10793,16749,Sound Director
14813,7695,Main
14813,869,Main
14813,11184,Main
14813,141,Supporting
14813,10071,Supporting
14813,6686,Supporting
14813,257,Supporting
14813,206,Supporting
14813,31,Supporting
14813,70,Supporting
14813,16067,Director
14813,6549,Sound Director
14813,38121,Episode Director
14813,38061,Episode Director
34134,17635,Main
34134,20156,Main
34134,112,Supporting
34134,6686,Supporting
34134,513,Supporting
34134,672,Supporting
34134,869,Supporting
34134,98,Supporting
34134,25,Supporting
34134,173,Supporting
34134,46598,Producer
34134,31055,Director
34134,6016,Sound Director
34134,12262,Episode Director
6880,185,Main
6880,82,Main
6880,102,Supporting
6880,99,Supporting
6880,8956,Supporting
6880,41,Supporting
6880,6,Supporting
6880,212,Supporting
6880,672,Supporting
6880,12577,Supporting
6880,25629,Producer
6880,25627,Producer
6880,52145,Producer
6880,20102,Director
14741,13639,Main
14741,14441,Main
14741,86,Main
14741,12652,Main
14741,1722,Main
14741,523,Supporting
14741,30,Supporting
14741,51,Supporting
14741,18771,Supporting
14741,28769,Supporting
14741,38029,Producer
14741,5055,Director
14741,7194,Sound Director
14741,7498,Episode Director
38524,118,Main
38524,5142,Main
38524,672,Main
38524,158,Main
38524,212,Supporting
38524,82,Supporting
38524,34,Supporting
38524,5295,Supporting
38524,196,Supporting
38524,5626,Supporting
38524,42800,Producer
38524,40365,Producer
38524,49435,Producer
38524,5088,Director
35849,890,Main
35849,47097,Main
35849,24875,Main
35849,34209,Main
35849,869,Main
35849,42747,Main
35849,24263,Main
35849,10013,Main
35849,11158,Main
35849,28755,Main
35849,6385,Producer
35849,12673,Producer
35849,40434,Producer
35849,9029,Director
14719,2,Main
14719,160,Main
14719,926,Main
14719,7288,Main
14719,9580,Main
14719,100,Main
14719,1506,Main
14719,229,Supporting
14719,146,Supporting
14719,21,Supporting
14719,15107,Director
14719,31545,Director
14719,6016,Sound Director
14719,39644,Episode Director
12189,513,Main
12189,6560,Main
12189,278,Main
12189,10765,Main
12189,140,Supporting
12189,3,Supporting
12189,655,Supporting
12189,6,Supporting
12189,177,Supporting
12189,869,Supporting
12189,12789,Producer
12189,6771,Director
12189,7498,Episode Director
12189,8129,Episode Director
4181,513,Main
4181,31,Main
4181,470,Main
4181,57,Supporting
4181,111,Supporting
4181,32,Supporting
4181,177,Supporting
4181,40,Supporting
4181,278,Supporting
4181,195,Supporting
4181,8085,Producer
4181,38029,Producer
4181,5055,Director
4181,7194,Sound Director
13759,10765,Main
13759,16651,Main
13759,11817,Main
13759,28,Main
13759,11659,Main
13759,79,Main
13759,13,Supporting
13759,28,Supporting
13759,144,Supporting
13759,10981,Supporting
13759,10579,Director
13759,8074,Sound Director
13759,42034,Episode Director
13759,8759,Episode Director
205,123,Main
205,242,Main
205,13,Main
205,448,Supporting
205,181,Supporting
205,357,Supporting
205,37,Supporting
205,84,Supporting
205,38737,Supporting
205,342,Supporting
205,9326,Producer
205,25629,Producer
205,10314,Producer
205,2009,Director
813,557,Main
813,518,Main
813,557,Main
