anime,studio
23133,41
10015,36
30795,73
37998,41
5962,103
38731,11
394,7
39221,10
1470,14
52,4
326,11
1669,22
34076,132
489,112
40074,1521
18523,334
36525,120
8726,44
161,3
1453,37
31091,8
7655,118
15863,95
19367,56
1013,10
18411,51
17821,6
34177,439
419,37
15793,41
35298,418
1251,6
14511,91
34009,1325
21439,56
1557,37
11371,10
40550,44
27947,73
33197,7
37964,839
13115,37
37578,7
17651,48
106,18
1486,36
40165,569
1138,5
1915,35
36094,456
341,7
4415,10
1172,7
24135,169
14653,32
35834,951
33889,1569
19023,103
99,14
129,1
35248,3
508,73
142,18
37576,37
32947,1379
2030,5
31540,839
36587,569
5597,44
24011,418
14093,28
37651,44
5074,56
32171,300
34966,37
18465,10
5337,73
29163,3
21639,36
11491,541
14645,37
218,27
37458,541
1808,41
35757,1530
738,118
990,18
20033,537
417,131
12753,14
18495,70
345,1
476,890
551,86
290,14
35067,1
2142,1
4618,11
38295,541
9539,73
32878,1
1212,34
789,86
334,18
763,27
31621,1569
39417,852
5675,41
34368,7
4550,22
23325,27
75,27
31733,18
916,83
1614,11
6165,35
35789,73
9510,397
37140,18
10308,73
7768,7
37487,37
10336,3
6973,56
4038,118
34543,1379
12929,18
2112,27
860,28
3653,3
30721,1195
350,18
1601,3
22189,91
40230,1119
6098,126
10232,333
3549,11
30375,1075
12367,10
5041,41
1810,120
8624,18
34839,1
12119,14
569,103
1668,11
21573,41
16982,32
670,63
33046,56
36259,1111
29325,10
33299,14
30355,852
5984,287
33899,1103
16910,103
20533,94
173,37
24855,300
593,14
7720,56
33019,37
13261,28
2471,247
2559,22
36108,1053
563,11
39567,1983
35835,1857
22537,1169
1538,3
33031,290
1469,73
39730,95
38302,1264
252,5
302,22
95,14
1017,7
5702,2
35075,37
35997,346
40879,14
37958,1129
242,11
1914,11
37598,839
603,18
4334,4
24625,14
385,86
2970,34
1087,1
37154,112
335,37
35251,1340
37601,163
3298,37
32555,300
38276,839
14237,441
33983,1529
1543,39
39811,132
618,11
4039,229
509,120
9441,1
1555,1
107,37
3615,96
38390,37
1110,60
36431,1379
33726,1471
30705,91
30437,1281
34284,418
230,18
15061,14
1157,3
4028,7
1570,8
14941,41
37188,1794
31178,56
37206,95
119,218
690,48
16241,10
7334,73
15651,14
125,94
34866,36
40075,569
1710,27
