id,naslov,sezona,zacetek,konec,vir,epizode,dolzina,stevilo_clenov,najljubsi,ocena,opis,oznaka
28121,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,Spring 2015,2015,2015,Light novel,13,24 min. per ep.,1020776,9947,7.66,"Life in the bustling city of Orario is never dull, especially for Bell Cranel, a naïve young man who hopes to become the greatest adventurer in the land. After a chance encounter with the lonely godde...",PG-13
5081,Bakemonogatari,Summer 2009,2009,2010,Light novel,15,24 min. per ep.,1018288,39813,8.36,"Koyomi Araragi, a third-year high school student, manages to survive a vampire attack with the help of Meme Oshino, a strange man residing in an abandoned building. Though being saved from vampirism a...",R
15809,Hataraku Maou-sama!,Spring 2013,2013,2013,Light novel,13,24 min. per ep.,1007403,9263,7.84,"Striking fear into the hearts of mortals, the Demon Lord Satan begins to conquer the land of Ente Isla with his vast demon armies. However, while embarking on this brutal quest to take over the contin...",PG-13
30503,Noragami Aragoto,Fall 2015,2015,2015,Manga,13,24 min. per ep.,981685,10592,8.23,"Yato and Yukine have finally mended their relationship as god and Regalia, and everyone has returned to their daily life. Yato remains a minor and unknown deity who continues taking odd jobs for five...",PG-13
29803,Overlord,Summer 2015,2015,2015,Light novel,13,24 min. per ep.,979624,17389,7.97,"The final hour of the popular virtual reality game Yggdrasil has come. However, Momonga, a powerful wizard and master of the dark guild Ainz Ooal Gown, decides to spend his last few moments in the gam...",R
28999,Charlotte,Summer 2015,2015,2015,Original,13,24 min. per ep.,976332,16633,7.79,"While on the surface Yuu Otosaka appears to be just another charming and intelligent teenager, he has a secret—he has the ability to slip into people&#039;s minds and fully control their body for five seco...",PG-13
37779,Yakusoku no Neverland,Winter 2019,2019,2019,Manga,12,22 min. per ep.,956415,27098,8.66,"Surrounded by a forest and a gated entrance, the Grace Field House is inhabited by orphans happily living together as one big family, looked after by their &quot;Mama,&quot; Isabella. Although they are required...",R
33352,Violet Evergarden,Winter 2018,2018,2018,Light novel,13,24 min. per ep.,953473,31177,8.63,"The Great War finally came to an end after four long years of conflict; fractured in two, the continent of Telesis slowly began to flourish once again. Caught up in the bloodshed was Violet Evergarden...",PG-13
9756,Mahou Shoujo Madoka★Magica,Winter 2011,2011,2011,Original,12,24 min. per ep.,934248,46000,8.38,"Madoka Kaname and Sayaka Miki are regular middle school girls with regular lives, but all that changes when they encounter Kyuubey, a cat-like magical familiar, and Homura Akemi, the new transfer stud...",PG-13
32937,Kono Subarashii Sekai ni Shukufuku wo! 2,Winter 2017,2017,2017,Light novel,10,23 min. per ep.,926599,10440,8.32,"When Kazuma Satou died, he was given two choices: pass on to heaven or be revived in a fantasy world. After choosing the new world, the goddess Aqua tasked him with defeating the Demon King, and let h...",PG-13
10793,Guilty Crown,Fall 2011,2011,2012,Original,22,24 min. per ep.,919588,17293,7.53,"Japan, 2039. Ten years after the outbreak of the &quot;Apocalypse Virus,&quot; an event solemnly regarded as &quot;Lost Christmas,&quot; the once proud nation has fallen under the rule of the GHQ, an independent military...",R
14813,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,Spring 2013,2013,2013,Light novel,13,24 min. per ep.,918643,28428,8.07,"Hachiman Hikigaya is an apathetic high school student with narcissistic and semi-nihilistic tendencies. He firmly believes that joyful youth is nothing but a farce, and everyone who says otherwise is...",PG-13
34134,One Punch Man 2nd Season,Spring 2019,2019,2019,Web manga,12,23 min. per ep.,908285,5601,7.41,"In the wake of defeating Boros and his mighty army, Saitama has returned to his unremarkable everyday life in Z-City. However, unbeknownst to him, the number of monsters appearing is still continuousl...",R
6880,Deadman Wonderland,Spring 2011,2011,2011,Manga,12,24 min. per ep.,907650,6175,7.23,"It looked like it would be a normal day for Ganta Igarashi and his classmates—they were preparing to go on a class field trip to a certain prison amusement park called Deadman Wonderland, where the co...",R
14741,Chuunibyou demo Koi ga Shitai!,Fall 2012,2012,2012,Light novel,12,24 min. per ep.,900027,17243,7.78,"Everybody has had that stage in their life where they have thought themselves to be special, different from the masses of ordinary humans. They might go as far as seeing themselves capable of wielding...",PG-13
38524,Shingeki no Kyojin Season 3 Part 2,Spring 2019,2019,2019,Manga,10,23 min. per ep.,899833,33903,9.09,"Seeking to restore humanity’s diminishing hope, the Survey Corps embark on a mission to retake Wall Maria, where the battle against the merciless &quot;Titans&quot; takes the stage once again. Returning to the...",R
