anime,zanr
2321,adventure
2321,demon
2321,fantasy
2321,manga
2321,shounen
2321,super power
2321,swordplay
2321,time travel
2359,action
2359,historical
2359,manga
2359,military
2359,shounen
2359,violence
2369,action
2369,contemporary fantasy
2369,manga
2369,martial arts
2369,parallel world
2369,shounen
2369,super power
2369,swordplay
2372,comedy
2372,game
2372,half-length episodes
2372,romance
2372,seinen
2372,sudden girlfriend appearance
2372,super deformed
2372,visual novel
2386,action
2386,angst
2386,anthropomorphism
2386,coming of age
2386,contemporary fantasy
2386,daily life
2386,fantasy
2386,magic
2386,manga
2386,seinen
2386,sudden girlfriend appearance
2387,new
2387,romance
2387,science fiction
2387,seinen
2387,thriller
2429,comedy
2429,cooking
2429,manga
2429,shounen
2441,action
2441,comedy
2441,high school
2441,manga
2441,school clubs
2441,school life
2441,shounen
2441,sports
2441,violence
2478,contemporary fantasy
2478,fantasy
2478,loli
2478,magic
2478,manga
2478,seinen
2478,vampire
2538,action
2538,demon
2538,humanoid alien
2538,magic
2538,magical girl
2538,manga
2538,middle school
2538,romance
2538,shoujo
2538,super power
2539,action
2539,demon
2539,humanoid alien
2539,magic
2539,magical girl
2539,manga
2539,romance
2539,shoujo
2539,super power
2540,demon
2540,magic
2540,magical girl
2540,romance
2540,shoujo
2542,demon
2542,magic
2542,magical girl
2542,romance
2542,shoujo
2605,comedy
2605,contemporary fantasy
2605,fantasy
2605,harem
2605,magic
2605,manga
2605,middle school
2605,romance
2605,school life
2605,shounen
2644,action
2644,comedy
2644,fantasy
2644,manga
2644,new
2644,shounen
2644,super power
2651,adventure
2651,novel
2651,seinen
2651,steampunk
2659,daily life
2659,fantasy
2659,manga
2659,seinen
2733,action
2733,adventure
2733,bishounen
2733,fantasy
2733,high fantasy
2733,manga
2733,martial arts
2733,parallel world
2733,shounen
2733,swordplay
2810,conspiracy
2810,human enhancement
2810,novel
2810,post-apocalyptic
2810,science fiction
2810,seinen
2810,super power
2810,vampire
2810,violence
2835,comedy
2835,coming of age
2835,daily life
2835,josei
2835,love polygon
2835,manga
2835,noitaminA
2835,romance
2835,the arts
2835,university
2837,coming of age
2837,contemporary fantasy
2837,fantasy
2837,new
2837,seinen
2837,sports
2855,action
2855,manga
2855,parallel world
2855,shounen
2855,super power
2879,action
2879,adventure
2879,anthropomorphism
2879,coming of age
2879,fantasy
2879,mina
2879,novel
2879,parallel world
2879,tragedy
2921,action
2921,adventure
2921,comedy
2921,manga
2921,shounen
2921,super power
2921,violence
3030,action
3030,adventure
3030,manga
3030,martial arts
